,Airline,Source,Destination,Price,Day_of_Journey,Month_of_Journey,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Duration_Hours,Duration_Minutes,No_of_stops,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Chennai,Delhi,Kolkata,Mumbai,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Vistara,Airline_Vistara Premium economy
36,Jet Airways,Delhi,Cochin,10262,3,6,16,0,19,0,27,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
37,Jet Airways,Kolkata,Banglore,13941,18,5,16,30,4,40,12,10,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
38,Air India,Banglore,Delhi,5228,24,4,6,10,8,55,2,45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,Jet Airways,Delhi,Cochin,16263,27,6,20,0,4,25,8,25,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
40,Multiple carriers,Delhi,Cochin,8266,27,6,8,45,19,15,10,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
41,Air India,Delhi,Cochin,10441,15,6,22,0,19,15,21,15,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
42,Air India,Delhi,Cochin,11806,21,5,5,0,7,40,26,40,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
43,IndiGo,Mumbai,Hyderabad,4575,3,3,2,30,4,0,1,30,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
44,Multiple carriers,Delhi,Cochin,8371,27,3,7,30,19,15,11,45,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
45,Multiple carriers,Delhi,Cochin,8601,21,3,8,25,19,15,10,50,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
46,IndiGo,Banglore,New Delhi,7648,9,3,6,0,8,45,2,45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,Jet Airways,Kolkata,Banglore,14388,6,5,20,0,8,15,12,15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
48,Air India,Banglore,New Delhi,12599,3,3,6,45,11,10,28,25,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,Jet Airways,Kolkata,Banglore,10844,18,5,20,0,19,50,23,50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
50,Jet Airways,Delhi,Cochin,12898,27,5,18,15,19,0,24,45,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
51,IndiGo,Delhi,Cochin,5883,15,6,18,35,1,30,6,55,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
52,Vistara,Kolkata,Banglore,11682,24,3,20,20,22,55,26,35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
53,Air India,Banglore,New Delhi,14195,6,3,12,0,23,25,11,25,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,Air Asia,Kolkata,Banglore,4384,12,3,19,35,22,5,2,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,Jet Airways,Kolkata,Banglore,5608,15,5,10,20,17,35,7,15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
56,Jet Airways,Delhi,Cochin,16079,27,5,13,0,19,0,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
57,Air Asia,Kolkata,Banglore,7870,9,6,7,35,23,30,15,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,Vistara,Banglore,Delhi,4668,1,5,11,30,14,20,2,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,Air Asia,Delhi,Cochin,6253,15,6,20,45,7,10,10,25,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,Air India,Banglore,Delhi,5228,15,6,21,5,23,55,2,50,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,Jet Airways,Kolkata,Banglore,9314,1,5,17,0,14,25,21,25,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
62,Air India,Delhi,Cochin,8372,6,6,21,0,7,40,10,40,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
63,Jet Airways,Banglore,New Delhi,11087,12,3,16,55,23,0,6,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,Jet Airways,Delhi,Cochin,10262,24,6,20,55,19,0,22,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
65,Multiple carriers,Delhi,Cochin,34503,3,3,15,5,1,35,10,30,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
66,Jet Airways,Delhi,Cochin,15129,9,5,23,5,19,0,19,55,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
67,Vistara,Kolkata,Banglore,8452,1,4,7,10,20,20,13,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
68,Jet Airways,Kolkata,Banglore,13469,6,6,17,0,23,35,6,35,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
69,Jet Airways,Banglore,Delhi,3502,15,5,15,15,18,10,2,55,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,Jet Airways,Delhi,Cochin,10368,9,6,19,30,12,35,17,5,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
71,Air India,Banglore,New Delhi,7664,15,3,5,50,12,5,30,15,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,IndiGo,Kolkata,Banglore,4804,27,4,15,30,18,5,2,35,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
73,SpiceJet,Mumbai,Hyderabad,1965,6,6,22,45,0,15,1,30,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
74,Air India,Chennai,Kolkata,4667,21,5,11,40,13,55,2,15,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
75,Multiple carriers,Delhi,Cochin,7563,6,3,7,10,22,20,15,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
76,Air Asia,Kolkata,Banglore,5192,12,6,22,40,10,40,12,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,SpiceJet,Delhi,Cochin,4957,1,4,17,55,22,50,4,55,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
78,Jet Airways,Kolkata,Banglore,8355,9,5,10,20,17,35,7,15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
79,IndiGo,Banglore,New Delhi,6144,24,3,7,10,10,5,2,55,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,Air India,Delhi,Cochin,8839,15,6,13,15,9,25,20,10,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
81,Jet Airways,Kolkata,Banglore,9663,6,5,20,0,8,15,12,15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
82,Multiple carriers,Delhi,Cochin,9424,9,5,19,0,1,30,6,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
83,Air India,Delhi,Cochin,13381,3,6,6,50,7,40,24,50,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
84,IndiGo,Banglore,Delhi,4823,15,4,20,0,22,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,Jet Airways,Delhi,Cochin,11399,18,5,10,0,19,0,9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
86,SpiceJet,Mumbai,Hyderabad,2017,6,6,13,15,14,45,1,30,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
87,Air Asia,Kolkata,Banglore,4107,24,4,19,55,22,25,2,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,Vistara,Delhi,Cochin,6216,15,4,14,40,17,50,3,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
89,Jet Airways,Delhi,Cochin,15129,21,5,23,5,4,25,29,20,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
90,Air India,Banglore,New Delhi,13576,1,3,11,5,22,10,11,5,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,SpiceJet,Delhi,Cochin,5583,6,6,6,5,11,20,5,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
92,Jet Airways,Kolkata,Banglore,13364,1,4,14,5,20,45,6,40,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
93,Jet Airways,Delhi,Cochin,10368,15,6,5,30,19,0,13,30,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
94,Jet Airways,Kolkata,Banglore,8586,1,5,20,0,4,40,8,40,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
95,IndiGo,Delhi,Cochin,5636,15,5,7,15,12,30,5,15,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
96,Air Asia,Kolkata,Banglore,4384,6,3,10,20,12,55,2,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,Multiple carriers,Delhi,Cochin,8099,27,6,9,15,19,15,10,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
98,Jet Airways,Delhi,Cochin,14053,9,3,18,15,4,25,10,10,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
99,Vistara,Banglore,Delhi,5613,12,4,17,0,19,35,2,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,Multiple carriers,Delhi,Cochin,7618,27,5,7,0,21,0,14,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
101,Jet Airways,Delhi,Cochin,15554,9,5,2,15,19,0,16,45,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
102,Jet Airways,Kolkata,Banglore,13941,12,5,21,10,4,40,7,30,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
103,IndiGo,Kolkata,Banglore,4174,15,4,17,15,19,50,2,35,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
104,SpiceJet,Banglore,New Delhi,6860,3,3,20,30,23,20,2,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,Multiple carriers,Delhi,Cochin,7005,1,6,12,50,21,0,8,10,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
106,Multiple carriers,Delhi,Cochin,6795,12,6,19,0,1,30,6,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
107,Jet Airways,Delhi,Cochin,10368,9,6,9,40,19,0,9,20,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
108,Jet Airways,Delhi,Cochin,10368,15,6,19,30,12,35,17,5,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
109,IndiGo,Delhi,Cochin,8330,9,5,17,10,1,30,8,20,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
110,IndiGo,Chennai,Kolkata,5277,15,6,22,5,0,25,2,20,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
111,IndiGo,Banglore,Delhi,4591,12,5,13,0,15,50,2,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,Air Asia,Banglore,New Delhi,3383,24,3,23,25,2,10,2,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Jet Airways,Kolkata,Banglore,14151,9,6,17,0,18,0,25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
114,IndiGo,Kolkata,Banglore,5224,12,4,14,25,16,55,2,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
115,IndiGo,Chennai,Kolkata,3540,15,5,5,15,7,40,2,25,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
116,IndiGo,Kolkata,Banglore,4804,1,5,4,40,7,15,2,35,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
117,IndiGo,Kolkata,Banglore,5224,21,6,14,25,16,55,2,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
118,IndiGo,Kolkata,Banglore,6565,1,3,9,35,12,20,2,45,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
119,Jet Airways,Banglore,New Delhi,11087,12,3,20,35,18,25,21,50,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,Jet Airways,Delhi,Cochin,10262,6,6,7,5,4,25,21,20,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
121,IndiGo,Chennai,Kolkata,3540,6,5,5,15,7,40,2,25,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
122,Vistara,Kolkata,Banglore,12102,24,3,20,20,18,45,22,25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
123,Multiple carriers,Delhi,Cochin,8073,18,5,9,0,21,0,12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
124,Multiple carriers,Delhi,Cochin,13727,18,5,11,30,21,0,9,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
125,Multiple carriers,Delhi,Cochin,9315,15,5,6,40,19,0,12,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
126,Air India,Delhi,Cochin,8635,24,3,4,0,7,40,27,40,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
127,IndiGo,Kolkata,Banglore,6985,24,3,15,20,17,55,2,35,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
128,Jet Airways,Delhi,Cochin,15554,18,5,21,50,4,25,6,35,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
129,Jet Airways,Banglore,New Delhi,9134,15,3,11,40,18,25,6,45,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,GoAir,Banglore,Delhi,3898,15,6,7,45,10,40,2,55,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,IndiGo,Delhi,Cochin,6628,9,6,9,15,1,30,16,15,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
132,Vistara,Mumbai,Hyderabad,12080,12,3,8,45,16,45,8,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
133,Air India,Delhi,Cochin,15428,6,3,5,55,7,40,25,45,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
134,Multiple carriers,Delhi,Cochin,9450,27,5,8,0,21,0,13,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
135,SpiceJet,Chennai,Kolkata,3597,18,6,17,45,20,5,2,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
136,Jet Airways,Kolkata,Banglore,10844,9,6,20,0,12,0,16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
137,IndiGo,Delhi,Cochin,6442,1,6,6,50,22,30,15,40,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
138,Air India,Banglore,New Delhi,5626,9,3,6,50,23,10,16,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139,IndiGo,Chennai,Kolkata,3597,12,5,13,15,15,35,2,20,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
140,Jet Airways,Delhi,Cochin,13882,9,6,14,5,12,35,22,30,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
141,Air Asia,Kolkata,Banglore,5192,12,6,7,35,23,30,15,55,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,Air India,Kolkata,Banglore,11668,9,6,9,25,1,20,15,55,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
143,SpiceJet,Banglore,New Delhi,5126,9,3,5,45,8,35,2,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
144,Multiple carriers,Delhi,Cochin,15135,6,3,9,10,18,50,9,40,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
145,IndiGo,Delhi,Cochin,14871,3,3,6,40,13,20,6,40,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
146,Jet Airways,Delhi,Cochin,10262,15,6,19,15,4,25,9,10,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
147,Multiple carriers,Delhi,Cochin,16259,9,3,4,0,12,55,8,55,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
148,Jet Airways,Banglore,New Delhi,25735,1,3,14,5,9,30,19,25,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,Jet Airways,Banglore,New Delhi,9623,15,3,5,50,12,20,6,30,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,Jet Airways,Kolkata,Banglore,13067,9,5,20,25,21,5,24,40,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
151,Air Asia,Kolkata,Banglore,4409,15,4,19,55,22,25,2,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,Jet Airways,Delhi,Cochin,10929,27,3,19,10,4,25,33,15,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
153,Multiple carriers,Delhi,Cochin,11789,6,6,6,0,19,0,13,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
154,IndiGo,Delhi,Cochin,6093,15,6,6,40,21,0,14,20,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
155,Jet Airways,Delhi,Cochin,14053,9,3,6,50,19,45,12,55,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
156,Jet Airways,Delhi,Cochin,18804,15,6,11,40,19,0,7,20,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
157,Jet Airways,Delhi,Cochin,14300,12,6,8,10,4,25,20,15,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
158,SpiceJet,Banglore,Delhi,3573,18,5,5,55,8,35,2,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159,Jet Airways,Kolkata,Banglore,14388,18,5,5,45,9,20,27,35,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
160,Multiple carriers,Delhi,Cochin,18275,6,6,17,50,1,30,7,40,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
161,Jet Airways,Delhi,Cochin,14237,6,6,18,25,4,25,10,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
162,IndiGo,Kolkata,Banglore,4226,24,5,6,20,10,20,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
163,Air Asia,Kolkata,Banglore,7870,9,6,7,35,19,25,11,50,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,IndiGo,Delhi,Cochin,6147,9,5,15,10,20,0,4,50,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
165,IndiGo,Mumbai,Hyderabad,4049,21,5,9,10,10,40,1,30,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
166,Air India,Kolkata,Banglore,12093,18,5,5,50,20,25,14,35,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
167,Multiple carriers,Delhi,Cochin,9526,15,6,6,0,19,15,13,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
168,Multiple carriers,Delhi,Cochin,8055,27,3,8,55,21,0,12,5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
169,Jet Airways,Kolkata,Banglore,10844,24,5,18,55,18,15,23,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
170,Air India,Delhi,Cochin,6057,27,3,17,15,9,25,16,10,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
171,Jet Airways,Kolkata,Banglore,10844,18,5,8,25,12,0,27,35,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
172,Jet Airways,Delhi,Cochin,13014,12,6,9,40,19,0,9,20,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
